id,created_at,device_id,motor_20,motor_40,motor_60,humidity_20,humidity_40,humidity_60,pressure,water_level_20,water_level_40,water_level_60
1,2021-04-01 10:27:17.542816,1,False,False,False,0.0,237.0,187.0,3.834,False,False,False
2,2021-04-01 10:27:17.577133,1,False,False,False,3.0,236.0,187.0,3.834,False,False,False
3,2021-04-01 10:27:22.701308,1,False,False,False,0.0,237.0,192.0,3.834,False,False,False
4,2021-04-01 10:27:27.772227,1,False,False,False,0.0,237.0,194.0,3.834,False,False,False
5,2021-04-01 10:27:32.855073,1,False,False,False,0.0,237.0,191.0,3.834,False,False,False
6,2021-04-01 10:27:37.893756,1,False,False,False,0.0,237.0,194.0,3.834,False,False,False
7,2021-04-01 10:27:42.978572,1,False,False,False,0.0,237.0,188.0,3.834,False,False,False
8,2021-04-01 10:27:48.297955,1,False,False,False,0.0,237.0,196.0,4.121,False,False,False
9,2021-04-01 10:27:53.122241,1,False,False,False,0.0,237.0,187.0,3.834,False,False,False
10,2021-04-01 10:27:58.191620,1,False,False,False,1.0,237.0,197.0,3.834,False,False,False
11,2021-04-01 10:28:03.256836,1,False,False,False,0.0,237.0,189.0,4.121,False,False,False
12,2021-04-01 10:28:08.333295,1,False,False,False,0.0,237.0,190.0,3.834,False,False,False
13,2021-04-01 10:28:13.400005,1,False,False,False,0.0,237.0,199.0,3.834,False,False,False
14,2021-04-01 10:28:18.511613,1,True,False,False,78.0,237.0,192.0,4.121,False,False,False
15,2021-04-01 10:28:24.438272,1,True,False,False,0.0,237.0,175.0,39.755,False,False,False
16,2021-04-01 10:28:29.608117,1,True,False,False,0.0,237.0,187.0,40.329,False,False,False
17,2021-04-01 10:28:34.825121,1,True,False,False,1.0,237.0,179.0,38.605,False,False,False
18,2021-04-01 10:28:39.897628,1,True,False,False,1.0,236.0,174.0,40.042,False,False,False
19,2021-04-01 10:28:45.120380,1,True,False,False,1.0,237.0,180.0,38.605,False,False,False
20,2021-04-01 10:28:50.381867,1,False,False,False,1.0,236.0,176.0,40.329,True,False,False
21,2021-04-01 10:28:55.287111,1,False,False,False,1.0,236.0,183.0,38.605,True,False,False
22,2021-04-01 10:29:00.341053,1,False,False,False,1.0,236.0,177.0,37.168,True,False,False
23,2021-04-01 10:29:05.421502,1,False,False,False,0.0,236.0,192.0,35.444,True,False,False
24,2021-04-01 10:29:10.509367,1,False,False,False,1.0,236.0,179.0,34.007,True,False,False
25,2021-04-01 10:29:15.574102,1,False,False,False,1.0,236.0,187.0,32.57,True,False,False
27,2021-04-01 10:29:40.915910,1,False,False,False,1.0,236.0,190.0,25.674,True,False,False
28,2021-04-01 10:29:45.985752,1,False,False,False,1.0,236.0,185.0,24.524,True,False,False
29,2021-04-01 10:29:51.094945,1,False,False,False,1.0,236.0,185.0,23.375,True,False,False
30,2021-04-01 10:29:56.102494,1,False,False,False,0.0,236.0,192.0,22.225,True,False,False
31,2021-04-01 10:30:01.193645,1,False,False,False,0.0,236.0,180.0,20.789,True,False,False
32,2021-04-01 10:30:06.667275,1,False,False,False,1.0,236.0,195.0,19.926,True,False,False
33,2021-04-01 10:30:11.286286,1,False,False,False,0.0,236.0,181.0,19.064,True,False,False
34,2021-04-01 10:30:16.289829,1,False,False,False,1.0,236.0,190.0,17.915,True,False,False
35,2021-04-01 10:30:21.304993,1,False,False,False,2.0,236.0,195.0,17.34,True,False,False
36,2021-04-01 10:30:26.363252,1,False,False,False,2.0,236.0,182.0,16.478,True,False,False
37,2021-04-01 10:30:31.447961,1,False,False,False,2.0,236.0,195.0,15.616,True,False,False
38,2021-04-01 10:30:36.643964,1,False,False,False,2.0,236.0,194.0,14.467,True,False,False
39,2021-04-01 10:30:41.573619,1,False,False,False,0.0,236.0,182.0,13.892,True,False,False
40,2021-04-01 10:30:46.670421,1,False,False,False,2.0,236.0,195.0,13.317,True,False,False
41,2021-04-01 10:30:51.780951,1,False,False,False,2.0,236.0,193.0,12.455,True,False,False
42,2021-04-01 10:30:56.826641,1,False,False,False,0.0,236.0,185.0,11.88,True,False,False
43,2021-04-01 10:31:01.896949,1,False,False,False,1.0,236.0,183.0,11.305,True,False,False
44,2021-04-01 10:31:06.954101,1,False,False,False,1.0,236.0,195.0,10.731,True,False,False
45,2021-04-01 10:31:12.016991,1,False,False,False,2.0,236.0,196.0,10.156,True,False,False
